medicine_id,medicine_name,generic_name,manufacturer,category,dosage_form,strength,unit_price,stock_quantity,reorder_level,expiry_date,status
MED00001,Azithromycin,Diclofenac,Abbott,Painkiller,Drops,500 mg,682.25,107,35,2028-11-04,Available
MED00002,Ondansetron,Levocetirizine,Pfizer,Antidiabetic,Syrup,500 mg,1067.89,840,68,2027-12-07,Available
MED00003,Aspirin,Pantoprazole,Cipla,Vitamin,Syrup,5 ml,374.4,518,22,2027-02-10,Available
MED00004,Montelukast,Atorvastatin,Abbott,Respiratory,Injection,250 mg,1131.51,200,49,2028-06-26,Available
MED00005,Levocetirizine,Pantoprazole,Dr. Reddy's,Respiratory,Injection,650 mg,885.02,661,55,2026-07-11,Available
MED00006,Rabeprazole,Pantoprazole,GSK,Painkiller,Drops,5 ml,313.77,950,93,2028-01-11,Available
MED00007,Insulin,Ondansetron,Mankind,Cardiology,Injection,650 mg,840.34,336,56,2027-11-05,Available
MED00008,Aspirin,Salbutamol,Mankind,Antibiotic,Injection,5 ml,1415.51,366,67,2028-02-01,Available
MED00009,Ranitidine,Amoxicillin,Abbott,Antibiotic,Tablet,5 ml,532.27,807,30,2028-09-17,Available
MED00010,ORS,Insulin,Dr. Reddy's,Painkiller,Tablet,250 mg,386.16,459,88,2027-03-23,Available
MED00011,Amlodipine,Cefixime,Alkem,Antibiotic,Drops,100 mg,414.51,775,100,2028-09-24,Available
MED00012,Cefixime,Levocetirizine,Lupin,Antacid,Syrup,500 mg,345.33,938,29,2029-06-10,Available
MED00013,Pantoprazole,Insulin,Alkem,Antibiotic,Syrup,50 mg,463.09,343,24,2027-08-14,Available
MED00014,Montelukast,Domperidone,Cipla,Antacid,Drops,100 mg,953.28,951,31,2026-09-11,Available
MED00015,Omeprazole,Dolo 650,Torrent,Respiratory,Syrup,250 mg,873.09,806,30,2027-06-27,Available
MED00016,Azithromycin,Domperidone,Dr. Reddy's,Cardiology,Drops,10 ml,1116.51,540,53,2029-02-24,Available
MED00017,Calcium,Levocetirizine,Pfizer,Vitamin,Drops,100 mg,809.6,993,64,2026-12-30,Available
MED00018,Pantoprazole,Levocetirizine,Alkem,Vitamin,Injection,250 mg,650.46,254,93,2028-03-29,Available
MED00019,Montelukast,Dolo 650,Alkem,Antacid,Drops,650 mg,237.31,298,70,2028-12-23,Available
